0 0.000 0.970 0.000, 1 0.185 2.366 -0.835, 2 0.338 1.042 0.480, 3 0.384 -1.926 1.342, 4 -0.341 -5.131 1.435, 5 -0.338 0.898 -0.480, 6 -0.460 -2.183 0.587, 7 -1.240 -5.401 1.102, 8 0.370 3.763 -1.669, 9 0.357 5.032 -2.189, 10 0.265 5.107 -2.097, 11 0.253 5.140 -2.405, 12 0.393 5.208 -2.006, 13 0.216 4.847 -2.788, 14 0.684 5.064 -1.773, 15 -0.064 3.642 -2.642, 16 -0.309 2.068 -1.925, 17 -0.648 0.611 -0.998, 18 0.804 3.883 -0.696, 19 0.903 2.430 0.239, 20 0.958 0.974 1.087,
0 -0.000 0.970 0.000, 1 0.185 2.366 -0.834, 2 0.338 1.042 0.480, 3 0.366 -1.921 1.420, 4 -0.343 -5.132 1.432, 5 -0.338 0.898 -0.480, 6 -0.461 -2.182 0.586, 7 -1.242 -5.402 1.099, 8 0.370 3.762 -1.668, 9 0.357 5.031 -2.188, 10 0.265 5.107 -2.096, 11 0.253 5.139 -2.404, 12 0.393 5.208 -2.005, 13 0.216 4.847 -2.787, 14 0.684 5.064 -1.772, 15 -0.064 3.642 -2.641, 16 -0.309 2.068 -1.924, 17 -0.648 0.612 -0.998, 18 0.804 3.883 -0.696, 19 0.904 2.429 0.239, 20 0.956 1.021 1.104,
0 -0.000 0.970 0.000, 1 0.185 2.366 -0.834, 2 0.338 1.042 0.480, 3 0.366 -1.921 1.421, 4 -0.341 -5.128 1.434, 5 -0.338 0.898 -0.480, 6 -0.460 -2.182 0.586, 7 -1.240 -5.399 1.101, 8 0.369 3.762 -1.669, 9 0.357 5.031 -2.188, 10 0.264 5.106 -2.096, 11 0.253 5.139 -2.404, 12 0.393 5.207 -2.006, 13 0.215 4.846 -2.787, 14 0.683 5.063 -1.773, 15 -0.065 3.641 -2.641, 16 -0.309 2.067 -1.924, 17 -0.648 0.611 -0.998, 18 0.803 3.883 -0.696, 19 0.903 2.429 0.239, 20 0.958 0.974 1.086,
0 0.000 0.970 -0.000, 1 0.185 2.357 -0.839, 2 0.338 1.063 0.489, 3 0.366 -1.944 1.412, 4 -0.343 -5.156 1.422, 5 -0.338 0.877 -0.489, 6 -0.460 -2.205 0.578, 7 -1.243 -5.426 1.090, 8 0.369 3.744 -1.679, 9 0.357 5.013 -2.198, 10 0.264 5.089 -2.107, 11 0.253 5.121 -2.415, 12 0.392 5.190 -2.016, 13 0.215 4.829 -2.798, 14 0.683 5.046 -1.783, 15 -0.065 3.623 -2.651, 16 -0.309 2.048 -1.934, 17 -0.648 0.590 -1.007, 18 0.803 3.865 -0.706, 19 0.904 2.410 0.230, 20 0.958 0.954 1.077,
0 0.000 0.970 -0.000, 1 0.185 2.357 -0.839, 2 0.338 1.063 0.489, 3 0.366 -1.944 1.412, 4 -0.345 -5.159 1.420, 5 -0.338 0.877 -0.489, 6 -0.461 -2.206 0.578, 7 -1.246 -5.429 1.088, 8 0.370 3.744 -1.678, 9 0.364 5.027 -2.211, 10 0.264 5.089 -2.106, 11 0.253 5.122 -2.414, 12 0.393 5.190 -2.015, 13 0.243 4.884 -2.850, 14 0.684 5.046 -1.782, 15 -0.064 3.623 -2.652, 16 -0.309 2.048 -1.934, 17 -0.648 0.591 -1.007, 18 0.804 3.865 -0.705, 19 0.904 2.410 0.230, 20 0.957 1.001 1.095,
0 -0.000 0.970 -0.000, 1 0.185 2.367 -0.835, 2 0.338 1.042 0.480, 3 0.256 -1.940 1.431, 4 -0.341 -5.133 1.435, 5 -0.338 0.898 -0.480, 6 -0.460 -2.185 0.587, 7 -1.190 -5.295 0.965, 8 0.369 3.764 -1.670, 9 0.357 5.033 -2.190, 10 0.264 5.109 -2.098, 11 0.253 5.141 -2.406, 12 0.393 5.210 -2.007, 13 0.215 4.849 -2.790, 14 0.683 5.066 -1.774, 15 -0.065 3.643 -2.643, 16 -0.309 2.068 -1.926, 17 -0.648 0.611 -0.999, 18 0.803 3.885 -0.697, 19 0.903 2.430 0.239, 20 0.958 0.974 1.087,
0 0.000 0.970 0.000, 1 0.185 2.367 -0.835, 2 0.338 1.042 0.480, 3 0.366 -1.923 1.423, 4 -0.339 -5.129 1.441, 5 -0.338 0.898 -0.480, 6 -0.460 -2.185 0.588, 7 -1.187 -5.292 0.970, 8 0.370 3.764 -1.671, 9 0.364 5.047 -2.204, 10 0.265 5.109 -2.099, 11 0.254 5.141 -2.407, 12 0.393 5.210 -2.008, 13 0.244 4.903 -2.843, 14 0.684 5.066 -1.775, 15 -0.064 3.643 -2.644, 16 -0.309 2.068 -1.926, 17 -0.647 0.611 -0.999, 18 0.803 3.885 -0.698, 19 0.903 2.430 0.239, 20 0.957 0.975 1.087,
0 0.000 0.970 0.000, 1 0.191 2.349 -0.865, 2 0.338 1.062 0.489, 3 0.382 -1.947 1.334, 4 -0.344 -5.155 1.427, 5 -0.338 0.878 -0.489, 6 -0.461 -2.204 0.578, 7 -1.192 -5.317 0.956, 8 0.383 3.728 -1.731, 9 0.362 5.011 -2.227, 10 0.267 5.088 -2.104, 11 0.255 5.120 -2.412, 12 0.395 5.189 -2.013, 13 0.227 4.826 -2.919, 14 0.686 5.045 -1.780, 15 -0.040 3.593 -2.757, 16 -0.308 2.048 -1.934, 17 -0.690 0.559 -1.102, 18 0.805 3.863 -0.704, 19 0.904 2.409 0.231, 20 0.956 1.000 1.096,
0 0.000 0.970 0.000, 1 0.190 2.359 -0.864, 2 0.338 1.062 0.489, 3 0.381 -1.949 1.331, 4 -0.328 -5.145 1.344, 5 -0.338 0.878 -0.489, 6 -0.464 -2.205 0.575, 7 -1.213 -5.415 1.012, 8 0.380 3.749 -1.728, 9 0.361 5.021 -2.225, 10 0.268 5.088 -2.101, 11 0.257 5.121 -2.409, 12 0.397 5.189 -2.010, 13 0.228 4.827 -2.916, 14 0.678 5.082 -1.783, 15 -0.039 3.594 -2.755, 16 -0.308 2.049 -1.933, 17 -0.691 0.560 -1.103, 18 0.799 3.903 -0.701, 19 0.907 2.395 0.132, 20 0.957 0.999 1.096,
0 0.000 0.970 0.000, 1 0.191 2.359 -0.864, 2 0.338 1.062 0.490, 3 0.379 -1.950 1.332, 4 -0.360 -5.174 1.413, 5 -0.338 0.878 -0.490, 6 -0.363 -2.186 0.574, 7 -1.260 -5.441 1.079, 8 0.382 3.749 -1.728, 9 0.364 5.021 -2.224, 10 0.271 5.088 -2.099, 11 0.260 5.121 -2.408, 12 0.400 5.189 -2.008, 13 0.232 4.827 -2.915, 14 0.681 5.082 -1.782, 15 -0.036 3.595 -2.755, 16 -0.306 2.050 -1.934, 17 -0.703 0.467 -1.020, 18 0.800 3.903 -0.700, 19 0.902 2.437 0.142, 20 0.956 0.998 1.097,
0 -0.000 0.970 0.000, 1 0.162 2.367 -0.838, 2 0.384 1.062 0.491, 3 0.315 -1.947 1.409, 4 -0.409 -5.177 1.406, 5 -0.384 0.878 -0.491, 6 -0.408 -2.186 0.572, 7 -1.310 -5.443 1.073, 8 0.324 3.764 -1.677, 9 0.313 5.029 -2.197, 10 0.224 5.088 -2.102, 11 0.213 5.121 -2.411, 12 0.353 5.189 -2.012, 13 0.169 4.859 -2.799, 14 0.634 5.082 -1.785, 15 -0.105 3.624 -2.651, 16 -0.352 2.050 -1.935, 17 -0.749 0.466 -1.021, 18 0.753 3.903 -0.702, 19 0.854 2.451 0.240, 20 0.909 0.998 1.095,
0 0.000 0.970 0.000, 1 0.142 2.366 -0.840, 2 0.341 1.060 0.487, 3 0.288 -1.953 1.325, 4 -0.322 -5.142 1.376, 5 -0.341 0.880 -0.487, 6 -0.453 -2.188 0.566, 7 -1.364 -5.456 1.060, 8 0.285 3.763 -1.679, 9 0.275 5.028 -2.198, 10 0.187 5.087 -2.103, 11 0.176 5.120 -2.412, 12 0.315 5.188 -2.012, 13 0.131 4.858 -2.801, 14 0.596 5.080 -1.785, 15 -0.144 3.624 -2.655, 16 -0.392 2.050 -1.941, 17 -0.790 0.467 -1.027, 18 0.713 3.902 -0.704, 19 0.814 2.435 0.138, 20 0.867 0.996 1.093,
0 -0.000 0.970 -0.000, 1 0.142 2.368 -0.870, 2 0.329 1.070 0.532, 3 0.272 -1.947 1.368, 4 -0.322 -5.127 1.341, 5 -0.329 0.870 -0.532, 6 -0.471 -2.180 0.607, 7 -1.350 -5.442 1.025, 8 0.284 3.765 -1.740, 9 0.270 5.035 -2.179, 10 0.177 5.102 -2.054, 11 0.166 5.135 -2.362, 12 0.306 5.203 -1.963, 13 0.137 4.841 -2.872, 14 0.587 5.095 -1.736, 15 -0.137 3.637 -2.713, 16 -0.406 2.064 -1.898, 17 -0.768 0.449 -1.067, 18 0.706 3.894 -0.766, 19 0.890 2.441 0.189, 20 0.955 1.004 1.136,
0 0.000 0.970 0.000, 1 0.143 2.375 -0.839, 2 0.342 1.060 0.488, 3 0.285 -1.959 1.324, 4 -0.340 -5.168 1.360, 5 -0.342 0.880 -0.488, 6 -0.458 -2.193 0.564, 7 -1.388 -5.482 1.044, 8 0.286 3.781 -1.678, 9 0.284 5.025 -2.227, 10 0.191 5.092 -2.102, 11 0.180 5.125 -2.411, 12 0.380 5.183 -2.000, 13 0.152 4.831 -2.920, 14 0.601 5.085 -1.784, 15 -0.145 3.656 -2.653, 16 -0.391 2.053 -1.942, 17 -0.752 0.437 -1.110, 18 0.717 3.905 -0.703, 19 0.903 2.431 0.144, 20 0.967 0.994 1.092,
